Date,Open,High,Low,Close,Adj Close,Volume
2022-07-26,14912.410156,14912.410156,14750.709961,14806.780273,14806.780273,2617400
2022-07-27,14791.709961,14921.589844,14717.019531,14921.589844,14921.589844,2569700
2022-07-28,14978.950195,15031.990234,14849.940430,14891.900391,14891.900391,2911200
2022-07-29,14950.179688,15035.269531,14929.490234,15000.070313,15000.070313,3117200
2022-08-01,14982.269531,14994.360352,14886.809570,14981.690430,14981.690430,2658300
2022-08-02,14860.940430,14860.940430,14663.459961,14747.230469,14747.230469,3161000
2022-08-03,14757.509766,14777.019531,14673.349609,14777.019531,14777.019531,2649100
2022-08-04,14741.469727,14766.570313,14545.690430,14702.200195,14702.200195,2766400
2022-08-05,14802.339844,15041.410156,14802.339844,15036.040039,15036.040039,2749400
2022-08-08,14972.209961,15034.870117,14908.169922,15020.410156,15020.410156,2558700
2022-08-09,14965.120117,15077.629883,14905.230469,15050.280273,15050.280273,2854300
2022-08-10,14940.759766,14982.330078,14890.549805,14939.019531,14939.019531,2863700
2022-08-11,15087.589844,15204.790039,15087.589844,15197.849609,15197.849609,3417400
2022-08-12,15203.910156,15298.419922,15198.929688,15288.969727,15288.969727,2921300
2022-08-15,15332.919922,15437.230469,15315.120117,15417.349609,15417.349609,3136600
2022-08-16,15435.040039,15451.830078,15392.490234,15420.570313,15420.570313,3045100
2022-08-17,15423.440430,15475.889648,15390.839844,15465.450195,15465.450195,3108600
2022-08-18,15384.730469,15396.759766,15311.219727,15396.759766,15396.759766,2635800
2022-08-19,15394.360352,15458.450195,15346.259766,15408.780273,15408.780273,3252400
2022-08-22,15375.200195,15375.200195,15229.360352,15245.139648,15245.139648,2782000
2022-08-23,15225.169922,15225.169922,15086.429688,15095.889648,15095.889648,2405400
2022-08-24,15112.150391,15183.959961,15053.519531,15069.190430,15069.190430,2665500
2022-08-25,15105.309570,15244.059570,15105.309570,15200.040039,15200.040039,2502900
2022-08-26,15221.500000,15337.250000,15221.500000,15278.440430,15278.440430,3192200
2022-08-29,15197.190430,15197.190430,14843.719727,14926.190430,14926.190430,2973800
2022-08-30,14919.669922,15027.500000,14911.969727,14953.629883,14953.629883,2729600
2022-08-31,14912.120117,15095.440430,14874.330078,15095.440430,15095.440430,3006200
2022-09-01,14981.000000,14981.000000,14773.190430,14801.860352,14801.860352,3009700
2022-09-02,14790.280273,14817.400391,14673.040039,14673.040039,14673.040039,3003400
2022-09-05,14670.179688,14753.030273,14632.790039,14661.099609,14661.099609,2643200
2022-09-06,14705.160156,14789.309570,14623.219727,14677.200195,14677.200195,2642400
2022-09-07,14557.860352,14557.860352,14397.120117,14410.049805,14410.049805,2439500
2022-09-08,14447.089844,14583.419922,14447.089844,14583.419922,14583.419922,2349200
2022-09-12,14711.339844,14856.230469,14711.339844,14807.429688,14807.429688,2620300
2022-09-13,14895.870117,14949.559570,14856.980469,14894.410156,14894.410156,2535400
